line_id,demand_cells,uncovered_population,budget,selected_stops,newly_covered_population,coverage_fraction
B3,39,48437.68328857422,3,3,14502.804260253906,0.2994116001347843
B4,18,64803.399894714355,4,4,56669.37129974365,0.8744814530073113
B5,19,27311.74858856201,3,3,23410.233612060547,0.8571488396705806
B6-ML2,27,17226.518913269043,3,3,9760.714263916016,0.5666097900021836
ML1,38,30454.52202606201,3,3,16573.796142578125,0.5442146203573577
ML3,4,22526.5859375,3,3,22526.5859375,1.0
ML4,14,18204.908737182617,3,3,13150.783874511719,0.7223757100002319
